iter	Passed	Remaining
0	7	3753
1	14	3693
2	21	3608
3	28	3593
4	37	3678
5	46	3849
6	54	3846
7	62	3851
8	69	3778
9	76	3724
10	83	3697
11	89	3641
12	97	3636
13	103	3593
14	110	3578
15	117	3547
16	123	3516
17	130	3500
18	137	3476
19	144	3470
20	151	3444
21	157	3424
22	164	3409
23	170	3390
24	177	3378
25	184	3361
26	190	3345
27	197	3328
28	203	3311
29	210	3296
30	216	3280
31	223	3267
32	229	3252
33	236	3237
34	243	3232
35	249	3216
36	256	3205
37	262	3193
38	269	3182
39	275	3171
40	282	3159
41	289	3152
42	296	3146
43	303	3141
