category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CONFIRMED,41.688644,,,,2.35545351,5703.0,0.956122,4.38,-1.077124063157291
CONFIRMED,41.6855,,,,2.23,5766.0,0.928,4.5,-1.077124063157291
CONFIRMED,41.6855,,490.0,490.0,2.57807,5766.0,1.08,4.5,-1.077124063157291
CANDIDATE,2.30183,1.9008,22679.999999999996,22679.999999999996,1.12,4616.52,0.762602,4.53679,-0.8801493197225977
CANDIDATE,2.302368,,,,1.31258765,4720.0,0.710995,4.5,-0.8801493197225977
CANDIDATE,1.1947488,1.93,4480.0,4480.0,4.19,3919.0,0.57,,2.72515929695203
CANDIDATE,6.178369,,,,9.91257877,5015.0,0.789478,4.67,-0.7612326789493308
CANDIDATE,6.17887,2.5008,13030.0,13030.0,8.84,4719.28,0.849432,4.45833,-0.7612326789493308
CANDIDATE,1.17589,1.248,686.0,686.0,0.86,,0.309,,1.0444707740231955
CANDIDATE,10.6966,3.24,557.0,557.0,1.45,,0.588,,0.6980879434631164
CANDIDATE,1.5374115,2.3808,14564.0,14564.0,45.0,,1.599,,-0.41728916409742106
CANDIDATE,2.71189,3.1008,200.0,200.0,4.34,6402.0,3.16745,3.54386,-0.5410844362870265
CANDIDATE,18.10549,,,,2.09985108,6213.0,1.224685,4.32,-1.1643295997243526
CONFIRMED,6.7987,,,,1.047,3648.0,0.282,4.999,1.7482133558301172
CANDIDATE,79.9999,11.7504,,,10.2,4542.0,0.508,4.747,0.7157729823473458
CANDIDATE,,14.472,30600.0,30600.0,30.0,,0.707,,0.7157729823473458
CANDIDATE,17.77297,2.8992,36620.0,36620.0,26.44,5847.0,1.25428,4.26659,0.16692694800919172
CANDIDATE,0.99656225,2.26,355000.0,355000.0,32.8,3727.0,0.5,,1.6524702142844614
CANDIDATE,14.912381,3.03,2520.0,2520.0,3.55,4224.0,0.65,,1.4201253930813096
CANDIDATE,14.9139,3.264,2400.0,2400.0,3.24,,0.647,,1.4201253930813096
CANDIDATE,0.57303573,0.32,5100.0,5100.0,3.35,3570.0,0.43,,3.233146793178345
CONFIRMED,28.1656,,,,1.87,,,,1.2792549109345168
CONFIRMED,28.1696,3.36,3160.0,3160.0,2.2,,0.374,,1.2792549109345168
