,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
2,CANDIDATE,19.89913995,1.7822,10829.0,10829.0,14.6,5853.0,0.868,4.544,0.8454982882926887
58,CANDIDATE,40.4195037,3.362,6256.0,6256.0,7.51,5446.0,0.781,4.507,0.8823094824918613
62,CANDIDATE,7.2406612,0.558,556.4,556.4,19.45,5005.0,0.765,4.595,0.7718758998943435
63,CANDIDATE,3.43591631,3.133,23.2,23.2,0.55,5779.0,1.087,4.339,-1.063631293213413
84,CANDIDATE,10.181584004,3.5089,5741.1,5741.1,7.73,5988.0,0.836,4.541,1.0050134631557694
92,CANDIDATE,19.620346923,2.0038,21725.0,21725.0,13.6,5710.0,0.905,4.492,0.9364435916082908
112,CANDIDATE,34.84398644,2.9315,4523.6,4523.6,7.61,5509.0,0.871,4.482,1.0245017424376837
118,CANDIDATE,4.64090031,35.512,2450.6,2450.6,30.09,6463.0,0.826,4.5,0.7256814601149897
123,CANDIDATE,1.028436523,1.8606,8098.0,8098.0,72.77,6228.0,0.99,4.428,0.6765998678494267
166,CANDIDATE,235.9986399,8.2284,20715.0,20715.0,10.59,4245.0,0.657,4.627,0.6549462242028551
172,CANDIDATE,39.74893077,7.3051,15179.0,15179.0,14.21,6122.0,0.964,4.487,0.7790937811098674
176,CANDIDATE,13.61014819,2.594,5732.9,5732.9,19.02,5697.0,0.903,4.46,0.5741059545889861
184,CANDIDATE,119.0207044,8.1405,7430.5,7430.5,8.98,5453.0,1.062,4.342,0.5921506576277964
195,CANDIDATE,12.940668656,2.4845,42450.0,42450.0,22.94,5875.0,0.809,4.572,0.6859831134296078
216,CANDIDATE,2.688899233,2.11275,37492.0,37492.0,12.04,4820.0,0.639,4.667,1.0836883684049812
230,CANDIDATE,12.732624065,2.2083,6465.7,6465.7,4.87,3950.0,0.541,4.721,1.0721397584601429
231,CANDIDATE,83.92494032,6.7904,7958.7,7958.7,4.78,3960.0,0.509,4.746,1.075026910946352
253,CANDIDATE,3.886655224,3.1646,581.6,581.6,1.87,5662.0,0.738,4.61,0.7985820603917829
269,CANDIDATE,2.494170338,1.1221,863.7,863.7,2.42,5569.0,0.829,4.566,0.711967485805494
287,CANDIDATE,39.4759093,2.968,1012.6,1012.6,4.06,6225.0,1.031,4.45,0.696088147131341
304,CANDIDATE,9.61731426,3.8692,234.0,234.0,1.94,6035.0,1.257,4.22,0.7018624521037609
316,CANDIDATE,90.1240507,11.649,3020.3,3020.3,7.12,6520.0,1.215,4.375,0.5019271424337461
318,CANDIDATE,856.672115,23.144,858.1,858.1,3.87,6449.0,1.309,4.232,-0.1931548186212171
319,CANDIDATE,0.689210173,1.6169,195.0,195.0,1.32,5630.0,0.954,4.505,-0.7337741216639663
326,CANDIDATE,3.9886021,1.7376,673.5,673.5,34.39,4813.0,13.652,2.472,-5.262272796283733
327,CANDIDATE,0.533059312,1.8621,1495.8,1495.8,133.56,8523.0,4.051,3.559,-4.703608790202174
341,CANDIDATE,129995.7784,9.408,1474.9,1474.9,2.99,4500.0,0.726,4.572,-0.5901382854750384
345,CANDIDATE,13.118962443,4.3045,372.2,372.2,8.25,7221.0,4.24,3.488,-3.6014383285916565
