,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness,relative_radius,apparent_luminosity,estimated_luminosity
0,0,9.48803557,2.9575,615.8,615.8,2.26,5455.0,0.927,4.467,0.7812591454745246,2.437971952535059,208.21639898562975,760919104251310.9
1,0,54.4183827,4.507,874.8,874.8,2.83,5455.0,0.927,4.467,0.7812591454745246,3.052858683926645,194.09806966940315,760919104251310.9
3,1,1.736952453,2.40641,8079.2,8079.2,33.46,5805.0,0.791,4.564,0.961706175862625,42.30088495575221,3357.366367327263,710496369804232.0
4,0,2.525591777,1.6545,603.3,603.3,2.75,6031.0,1.046,4.438,0.8981888211660143,2.62906309751434,364.64188576609246,1447507034452689.2
5,0,11.09432054,4.5945,1517.5,1517.5,3.9,6046.0,0.972,4.486,1.0461553860842563,4.012345679012346,330.2862117749483,1262423589798023.0
6,0,4.13443512,3.1402,686.0,686.0,2.77,6046.0,0.972,4.486,1.0461553860842563,2.8497942386831276,218.45742309407044,1262423589798023.0
7,0,2.56658897,2.429,226.5,226.5,1.59,6046.0,0.972,4.486,1.0461553860842563,1.6358024691358026,93.24825030876904,1262423589798023.0
8,1,7.36178958,5.022,233.7,233.7,39.21,6227.0,1.958,3.986,-1.1581855371367775,20.025536261491318,46.53524492234169,5764223847317992.0
9,0,16.06864674,3.5347,4914.3,4914.3,5.76,5031.0,0.848,4.485,1.1378224775214107,6.7924528301886795,1390.3018643732141,460690199962252.9
10,0,2.470613377,1.74319,14231.0,14231.0,13.04,5820.0,0.964,4.457,-2.1123894338290534,13.526970954356846,8163.768722858667,1066217991041640.9
11,0,2.204735417,3.88864,6674.7,6674.7,16.1,6440.0,1.952,4.019,-2.7439540401874045,8.247950819672132,1716.4612820934824,6553949581504676.0
12,0,3.522498429,3.19843,9145.7,9145.7,14.59,6225.0,1.451,4.169,-0.5064108633749589,10.055134390075809,2859.4341598846936,3161493170245860.0
13,0,3.709214104,2.6302,131.1,131.1,1.16,5833.0,1.022,4.407,-1.0773452675229087,1.1350293542074363,49.84411831799863,1209120814193410.2
14,1,11.521446064,3.6399,17984.0,17984.0,150.51,5795.0,0.848,4.554,0.8714826606685748,177.4882075471698,4940.795076787824,810971264079271.8
15,1,19.40393776,12.2155,8918.7,8918.7,7.18,5043.0,0.68,4.591,0.8823094824918613,10.558823529411763,730.1133805411158,299070583501589.6
16,1,19.221388942,4.79843,74284.0,74284.0,49.29,6117.0,0.947,4.496,0.7769284167452101,52.04857444561774,15480.896876686751,1255607438801377.2
17,1,16.46983774,9.4378,10479.0,10479.0,7.94,5152.0,0.786,4.517,1.099567707079134,10.101781170483461,1110.322320879866,435259751212605.5
18,0,9.27358173,3.2875,1288.3,1288.3,2.47,4856.0,0.696,4.583,0.7487786800046666,3.5488505747126444,391.8783269961977,269360054647906.34
19,0,6.02930329,1.5821,1912.7,1912.7,2.85,4537.0,0.672,4.648,1.096680554592925,4.241071428571429,1208.9627710005689,191343477743123.47
20,1,2.696370652,3.6129,397.9,397.9,1.58,4989.0,0.819,4.504,0.7249596719934377,1.9291819291819294,110.13313404744112,415548595966312.75
21,0,5.349553819,3.0278,831.0,831.0,2.55,5185.0,0.91,4.44,0.831062525861641,2.802197802197802,274.4567012352203,598518842743702.6
22,0,3.94105221,2.5984,363.3,363.3,1.7,5185.0,0.91,4.44,0.831062525861641,1.868131868131868,139.8168103448276,598518842743702.6
23,0,8.10904807,3.596,217.4,217.4,1.3,5185.0,0.91,4.44,0.831062525861641,1.4285714285714286,60.456062291434925,598518842743702.6
24,1,386.6030528,6.8057,24927.0,24927.0,41.5,5543.0,1.58,4.081,-1.3501811774697166,26.265822784810126,3662.665118944414,2356642406336141.0
25,0,21.67699193,3.4555,857.2,857.2,2.95,4954.0,0.828,4.5,0.8029127891210975,3.56280193236715,248.0682969179569,412937840791187.7
26,0,4.99677968,2.1717,934.7,934.7,2.78,5339.0,0.847,4.552,1.15225823995246,3.282172373081464,430.4001473500023,582916708695222.2
27,0,4.280963604,2.875,750.8,750.8,2.3,5644.0,0.831,4.564,0.7877552385684965,2.7677496991576414,261.1478260869565,700728962163848.5
28,1,1.50635409,1.5155,2211.7,2211.7,4.53,5714.0,0.831,4.563,0.9097374311108528,5.451263537906137,1459.3863411415373,736144364550045.1
29,1,670.645531,53.412,18091.0,18091.0,14.14,5520.0,0.983,4.466,0.6802088084571892,14.384537131230926,338.7066576799221,897146457455370.2
30,1,61.2563628,7.633,5123.3,5123.3,39.87,6144.0,1.091,4.402,0.711245697683942,36.54445462878093,671.2039827066684,1696111228567815.0
31,0,38.3775486,5.588,724.2,724.2,2.82,5481.0,1.036,4.369,0.6549462242028551,2.7220077220077217,129.59914101646385,968631791873517.2
32,0,41.19725502,4.6297,2213.9,2213.9,3.86,5031.0,0.848,4.485,1.1378224775214107,4.55188679245283,478.19513143400223,460690199962252.9
33,0,6.252962249,2.5819,1036.9,1036.9,2.65,5031.0,0.848,4.485,1.1378224775214107,3.125,401.60347031256055,460690199962252.9
34,0,16.01308419,3.2554,1121.9,1121.9,3.1,5015.0,0.826,4.499,0.8122960347012786,3.7530266343825667,344.62738833937465,431562642903170.1
35,0,32.62876672,4.7971,1804.8,1804.8,3.36,5586.0,0.798,4.56,0.5899852932631391,4.2105263157894735,376.2273039961643,620025438494505.0
36,0,91.7732862,6.473,652.0,652.0,2.12,5586.0,0.798,4.56,0.5899852932631391,2.656641604010025,100.72609300169937,620025438494505.0
37,0,4.959319244,2.22739,9802.0,9802.0,12.21,5712.0,1.082,4.359,0.7206289432641232,11.284658040665434,4400.66625063415,1246256156143329.2
38,1,2.701287801,3.3827,860.4,860.4,6.54,5550.0,0.91,4.468,0.9205642529341378,7.186813186813187,254.35303160197475,785696316575625.0
39,0,4.49876511,3.7362,460.0,460.0,2.1,6075.0,0.969,4.486,0.8159049753090399,2.1671826625387,123.11974733686633,1278888503104437.8
40,1,19.651209505,5.2514,11766.0,11766.0,12.42,6074.0,1.063,4.391,0.9176771004479284,11.683913452492945,2240.54537837529,1538033090653998.2
41,0,5.412203927,2.9472,601.6,601.6,2.94,5779.0,1.087,4.339,-1.063631293213413,2.704691812327507,204.1259500542888,1317861789322946.2
42,0,41.43958662,10.5989,2793.1,2793.1,5.5,5468.0,1.046,4.367,0.8195139159168024,5.25812619502868,263.52734717753725,978086788340711.9
43,0,8.35389523,2.2514,1041.6,1041.6,2.52,5592.0,0.787,4.582,0.7596055018279531,3.2020330368487926,462.64546504397265,605644971389936.4
44,0,4.125543472,3.1744,1487.3,1487.3,4.43,6174.0,1.103,4.417,0.896023456801357,4.016319129646418,468.52948588709677,1767736484503820.2
45,0,2.816504904,2.50587,16814.0,16814.0,12.21,5532.0,0.955,4.452,0.5683316496165662,12.785340314136127,6709.845283274871,854152524712401.9
46,1,33.93373447,14.561,8503.7,8503.7,7.34,5040.0,0.705,4.628,1.0475989623273607,10.411347517730498,584.005219421743,320701048464383.94
47,0,3.689920099,2.6557,426.7,426.7,1.89,5880.0,0.917,4.518,0.7054713927115235,2.061068702290076,160.6732688180141,1005189574643735.1
48,0,4.431238488,3.15,1010.9,1010.9,3.25,5714.0,1.015,4.428,0.7956949079055736,3.201970443349754,320.92063492063494,1098229306272103.5
49,0,11.37936986,2.6255,1023.5,1023.5,3.95,5714.0,1.015,4.428,0.7956949079055736,3.891625615763547,389.8305084745762,1098229306272103.5
50,0,26.39432897,3.573,1510.9,1510.9,3.07,5129.0,0.763,4.595,0.6996970877391036,4.023591087811271,422.86593898684583,402883862581035.56
51,0,13.57078281,3.3539,511.7,511.7,2.64,5854.0,1.012,4.406,-0.997948574152145,2.608695652173913,152.56865142073408,1202740395153196.0
52,0,7.12594387,3.0014,192.4,192.4,1.79,5779.0,1.087,4.339,-1.063631293213413,1.6467341306347747,64.10341840474446,1317861789322946.2
53,1,7.442652004,2.3078,24446.0,24446.0,15.03,6108.0,0.956,4.469,0.7256814601149897,15.721757322175732,10592.772337290928,1272072599772362.2
54,0,16.38489988,3.0249,1127.1,1127.1,2.0,4126.0,0.615,4.661,0.5993685388433202,3.252032520325203,372.607358920956,109614277615620.38
55,0,7.8774163,2.0805,1306.1,1306.1,2.16,4126.0,0.615,4.661,0.5993685388433202,3.51219512195122,627.7817832251862,109614277615620.38
56,0,36.4454001,4.007,1122.3,1122.3,1.99,4126.0,0.615,4.661,0.5993685388433202,3.2357723577235773,280.08485150985774,109614277615620.38
57,0,3.728732147,2.683,5226.5,5226.5,6.02,5497.0,0.809,4.577,0.9082938548677474,7.441285537700864,1948.0059634737236,597585417452004.9
59,0,2.243380573,1.1196,821.7,821.7,1.99,4149.0,0.564,4.698,0.6282400637054157,3.5283687943262416,733.9228295819937,94260979266494.06
60,1,10.405998015,6.5036,14489.0,14489.0,11.23,5746.0,0.924,4.393,0.9364435916082908,12.153679653679653,2227.843040777416,930692960542984.4
61,0,2.337437946,1.9982,971.2,971.2,2.34,5005.0,0.765,4.595,0.7718758998943435,3.0588235294117645,486.03743369032134,367230883557178.25
64,0,11.59822233,2.5237,2804.5,2804.5,2.65,3688.0,0.473,4.79,1.2071141371904417,5.602536997885835,1111.2652058485558,41389095060436.945
65,0,6.575315881,4.3084,2793.3,2793.3,5.31,5992.0,0.989,4.415,0.7559965612201904,5.369059656218402,648.3381301643302,1260897553177559.5
66,0,7.275040844,7.5377,3001.0,3001.0,4.86,5485.0,0.867,4.556,0.5885417170200338,5.605536332179931,398.1320561975138,680369321444683.5
67,0,19.27153892,2.7594,1219.8,1219.8,1.93,4077.0,0.56,4.702,0.808687094093516,3.446428571428571,442.05262013481195,86644081026374.47
68,0,10.06524317,1.369,1053.3,1053.3,1.91,4077.0,0.56,4.702,0.808687094093516,3.410714285714285,769.3937180423667,86644081026374.47
69,0,12.3935651,3.8896,916.6,916.6,2.66,5557.0,0.75,4.603,0.895301668679805,3.546666666666667,235.6540518305224,536394250294875.56
70,0,43.84439721,6.802,615.2,615.2,2.87,5854.0,1.012,4.406,-0.997948574152145,2.8359683794466406,90.44398706262865,1202740395153196.0
71,1,3.341913228,3.813,725.3,725.3,21.55,5295.0,0.811,4.551,0.984803395752302,26.572133168927248,190.21767637031206,517017884358644.0
72,1,1.626630225,2.1145,1620.6,1620.6,32.43,5735.0,0.973,4.41,0.7321775532089616,33.32990750256938,766.4223220619531,1024140095991392.6
73,0,2.711504086,3.0099,837.5,837.5,3.12,6214.0,1.076,4.442,0.9212860410556912,2.899628252788104,278.24844679225225,1726273240037193.0
74,0,7.21203748,4.0491,950.4,950.4,3.32,6214.0,1.076,4.442,0.9212860410556912,3.085501858736059,234.71882640586796,1726273240037193.0
75,1,14.1798187,2.505,459.9,459.9,1.88,5799.0,0.878,4.539,1.0555386316644375,2.14123006833713,183.59281437125748,871769090947710.9
76,0,8.47237911,2.7245,1123.5,1123.5,2.59,5354.0,0.788,4.587,0.7754848405021061,3.2868020304568524,412.3692420627638,510229896777773.4
77,0,60.4189369,5.039,931.3,931.3,2.36,5354.0,0.788,4.587,0.7754848405021061,2.99492385786802,184.8184163524509,510229896777773.4
78,0,12.611904345,5.1497,6105.6,6105.6,7.4,5795.0,0.919,4.508,0.6318490043131783,8.052230685527748,1185.6224634444725,952455697315067.1
79,1,1.433769925,1.8868,1976.3,1976.3,46.58,6017.0,1.339,4.22,0.6188568181252345,34.78715459297984,1047.434810260759,2350072172505151.5
80,1,10.31872301,3.836,871.7,871.7,28.59,5927.0,1.06,4.409,0.5777148951967473,26.971698113207545,227.24191866527636,1386600777830635.0
81,0,2.539183147,2.4282,382.1,382.1,2.06,5519.0,1.062,4.35,0.5495651584562039,1.9397363465160076,157.35936084342313,1046382842075031.8
82,0,6.770300385,2.0844,1304.0,1304.0,2.77,5653.0,0.679,4.656,0.9573754471333104,4.079528718703976,625.5996929572059,470820636811927.8
83,1,0.444291966,2.0792,10967.0,10967.0,27.51,5255.0,0.636,4.678,1.0706961822170376,43.25471698113208,5274.624855713736,308464445167704.8
85,0,20.06036336,3.3203,1494.7,1494.7,1.96,3950.0,0.493,4.754,1.219384535256833,3.975659229208925,450.17016534650486,59167363981056.25
86,0,46.1842039,4.758,1394.7,1394.7,1.83,3950.0,0.493,4.754,1.219384535256833,3.7119675456389456,293.12736443883983,59167363981056.25
87,0,23.9800854,5.351,104.0,104.0,1.31,5854.0,1.012,4.406,-0.997948574152145,1.2944664031620554,19.435619510371893,1202740395153196.0
88,0,7.82502168,2.186,520.8,520.8,1.2,3950.0,0.493,4.754,1.219384535256833,2.434077079107505,238.24336688014637,59167363981056.25
89,0,3.895936525,2.3111,8544.8,8544.8,7.34,5557.0,0.774,4.592,1.0540950554213324,9.483204134366925,3697.287006187529,571272750026049.6
90,0,22.36646466,5.228,986.8,986.8,2.32,5395.0,0.734,4.615,0.951601142160892,3.1607629427792916,188.7528691660291,456412905402359.56
91,0,1.625522174,2.38963,7969.0,7969.0,9.73,5539.0,1.106,4.322,0.5315204554173937,8.797468354430379,3334.8258935483736,1151425158551896.8
93,1,7.544039,6.222,322.6,322.6,17.47,5657.0,0.824,4.567,0.9342782272436336,21.20145631067961,51.84828029572485,695343082257408.1
94,0,9.02930689,3.1449,1019.8,1019.8,2.57,5349.0,0.82,4.526,0.8101306703366213,3.1341463414634148,324.27104200451527,550450279206125.25
95,1,10.328035714,7.7915,16918.0,16918.0,13.28,5627.0,1.024,4.359,0.9970737938186937,12.968749999999998,2171.3405634345118,1051253788451160.4
96,0,143.2063047,8.9302,10566.0,10566.0,8.9,5485.0,0.867,4.556,0.8216792802814598,10.265282583621685,1183.176188663188,680369321444683.5
97,0,6.164876,3.262,55.8,55.8,0.79,5854.0,1.012,4.406,-0.997948574152145,0.7806324110671937,17.106069895769465,1202740395153196.0
98,0,60.32494216,6.6188,20280.0,20280.0,12.19,5485.0,0.867,4.556,0.8216792802814598,14.05997693194925,3063.999516528676,680369321444683.5
99,0,29.1598615,4.803,488.0,488.0,1.91,5485.0,0.867,4.556,0.8216792802814598,2.2029988465974624,101.60316468873621,680369321444683.5
100,1,1.540397253,2.1541,816.1,816.1,25.69,5663.0,0.915,4.53,1.233820297687881,28.07650273224044,378.85892019869084,861050126025467.4
101,1,2.99025443,5.414,589.2,589.2,1.7,4667.0,0.731,4.578,1.138544265642964,2.3255813953488373,108.82896195049872,253504666058943.94
102,0,1.594745374,1.9604,15044.0,15044.0,11.3,5934.0,0.893,4.491,0.913346371718614,12.65397536394177,7673.944093042237,988765001608143.5
103,0,4.783002698,2.335,1008.7,1008.7,2.5,5170.0,0.807,4.574,0.6166914537605772,3.097893432465923,431.9914346895075,465274490071417.4
104,0,20.50588921,4.0595,2105.5,2105.5,3.41,4905.0,0.761,4.544,0.8180703396736972,4.480946123521682,518.659933489346,335216479246169.9
105,0,3.340218842,1.9104,1632.6,1632.6,2.03,3950.0,0.493,4.754,1.219384535256833,4.117647058823529,854.5854271356783,59167363981056.25
106,1,2.507089906,2.0067,1339.2,1339.2,30.26,5926.0,0.939,4.506,0.9313910747574242,32.225772097976574,667.3643294961878,1087371067221877.5
107,0,18.64932728,4.4056,893.6,893.6,3.12,5775.0,1.053,4.405,0.809408882215068,2.9629629629629632,202.83275830760851,1233288541910816.0
108,0,4.90144976,4.1654,140.7,140.7,1.7,5847.0,1.402,4.191,-1.2830548821653431,1.2125534950071326,33.77826859365247,2297356548048113.5
109,0,9.75192101,4.793,418.0,418.0,2.76,5775.0,1.053,4.405,0.809408882215068,2.6210826210826212,87.21051533486335,1233288541910816.0
110,0,38.5576546,5.794,993.0,993.0,4.02,5775.0,1.053,4.405,0.809408882215068,3.8176638176638176,171.38419054193994,1233288541910816.0
111,0,3.525632539,2.59959,22335.0,22335.0,11.58,5150.0,0.793,4.572,0.6924792065235797,14.602774274905421,8591.739466608196,442359431037306.3
113,0,7.748094239,3.5957,2472.1,2472.1,5.52,5973.0,1.085,4.439,1.014396708735951,5.087557603686636,687.5156436855133,1498406110271353.5
