category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
FALSE POSITIVE,2.1713484,2.0172196,656.8860989,656.8860989,5.8181633,10249.0,2.16986,4.19,-1.200721703669488
CANDIDATE,1.9316462,3.166,1286.0,1286.0,11.2154,7070.0,2.01,4.03,-1.3113452177850833
FALSE POSITIVE,1.8675574,1.408,1500.0,1500.0,23.7529,8924.0,5.73,,-1.3872788006161243
FALSE POSITIVE,2.74323,3.167,383.41,383.41,,5388.5,,4.15,-1.3867892780874445
FALSE POSITIVE,3.5730141,3.37,755.0,755.0,11.3113,9219.0,2.15,4.14,-1.4877571288088118
FALSE POSITIVE,4.5505945,2.654,3731.0,3731.0,7.10841,5613.0,1.09,,-1.490575406195452
FALSE POSITIVE,2.5047918,4.3797563,2270.5402194,2270.5402194,8.6950898,6616.0,1.53429,,-1.424590955208248
CANDIDATE,6.9989206,3.953,2840.0,2840.0,14.7752,6596.0,2.7,3.71,-1.6457705898497583
FALSE POSITIVE,2.0483755,2.767,483.0,483.0,3.19621,6858.5,1.57,4.2,-1.6098620599299809
CONFIRMED,1.4303699,1.6165994,18960.7122944,18960.7122944,13.1874503,5600.0,0.890774,4.48851,0.5165282282899858
