category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
FP,2.1713484,2.0172196,656.8860989,656.8860989,5.8181633,10249.0,2.16986,4.19,-1.200721703669488
PC,1.9316462,3.166,1286.0,1286.0,11.2154,7070.0,2.01,4.03,-1.3113452177850833
FP,1.8675574,1.408,1500.0,1500.0,23.7529,8924.0,5.73,,-1.3872788006161243
FP,2.74323,3.167,383.41,383.41,,5388.5,,4.15,-1.3867892780874445
FP,3.5730141,3.37,755.0,755.0,11.3113,9219.0,2.15,4.14,-1.4877571288088118
FP,4.5505945,2.654,3731.0,3731.0,7.10841,5613.0,1.09,,-1.490575406195452
FP,2.5047918,4.3797563,2270.5402194,2270.5402194,8.6950898,6616.0,1.53429,,-1.4245909552082479
PC,6.9989206,3.953,2840.0,2840.0,14.7752,6596.0,2.7,3.71,-1.6457705898497583
FP,2.0483755,2.767,483.0,483.0,3.19621,6858.5,1.57,4.2,-1.6098620599299809
PC,1.9600277,2.0065257,1707.6272693,1707.6272693,,8868.7,,,-1.918095832368816
KP,1.4303699,1.6165994,18960.7122944,18960.7122944,13.1874503,5600.0,0.890774,4.48851,0.5165282282899858
FP,0.6808702,2.4634563,1507.8006889,1507.8006889,5.9115908,9438.0,1.0,,-1.9072148309803962
PC,2.4704981,2.191,250.0,250.0,1.44656,5413.7,0.94,4.46,-2.037137418504506
APC,0.884182,1.621,1890.0,1890.0,24.8132,8928.0,2.72,3.92,-2.105523531960326
FP,5.4255548,3.9637474,14939.6342222,14939.6342222,,8868.7,,,-2.4226900183768154
FP,1.4095184,0.9484999,2841.5103258,2841.5103258,,9307.0,,,-2.3807221920757615
FP,1.3730466,2.5708515,1301.5065338,1301.5065338,42.1479417,4897.0,6.7996101,,-0.5250090667726658
FP,12.6889415,7.9201001,3232.8527885,3232.8527885,14.0608342,7601.0,1.53641,4.31,-0.5747577893368342
FP,1.10422,2.37,14177.7,14177.7,21.0448,6995.2,1.61,4.07,-0.589339311467711
FP,4.95912,2.509,7440.0,7440.0,22.9123,5889.0,2.0,3.86,-0.5749415900359625
PC,5.2341008,3.7078139,20796.9416293,20796.9416293,24.2931408,7645.0,1.56203,4.3,-0.5691825014632634
KP,4.4119378,3.65,15062.0,15062.0,15.4706,6280.0,1.21,4.32092,-1.1352273878799592
FP,3.28892,3.793,10518.9,10518.9,,8734.2,,4.1,-0.5186373092028703
FP,1.90879,1.909,618.482,618.482,3.34688,6022.6,1.22,4.52,-0.6180122205317894
FA,3.09574,4.475,380.0,380.0,3.4262,6084.0,1.41,4.13,-1.7366600355689015
FP,1.3214483,3.435,2180.0,2180.0,21.8839,5050.8,2.99,3.56,-1.14374348693959
FP,18.0157,2.524,610.0,610.0,21.644,4709.0,7.61,,-0.908233524456011
PC,9.6837921,2.4006056,4238.2399008,4238.2399008,,8598.7,,,-3.695264792244246
FP,14.2628757,6.9350494,913.2067174,913.2067174,2.4765813,5690.0,0.853898,4.58,-1.0109168483692466
PC,3.2834565,1.537,1558.0,1558.0,2.87648,4272.0,0.68,4.6,-0.8292604907303783
PC,11.02875,2.715,1694.0,1694.0,2.76586,4272.0,0.68,4.6,-0.8292604907303783
PC,5.0113292,1.024,1210.0,1210.0,2.52314,4272.0,0.68,4.6,-0.8292604907303783
FP,1.01606,2.843,240.0,240.0,1.20704,4634.0,0.68,4.64,-2.241094927637657
FP,36.22214,5.107,7170.0,7170.0,,,,,-2.893526142644843
KP,3.547854,3.494333,10424.3718,10424.3718,14.581841,6351.0,1.4,4.22896,-0.024887364443464604
FP,12.1246519,4.612,7279.0,7279.0,17.6729,4807.6,1.07,4.17,-1.2211848481724827
FP,5.652623,3.434,1250.0,1250.0,8.94354,6415.4,1.92,3.98,-1.1224226058406601
PC,5.6643704,3.8087395,3491.8232968,3491.8232968,14.7738943,10395.0,2.3383701,4.13,-1.1044714042257562
FP,29.0160175,5.345,1389.0,1389.0,6.77406,6113.1,2.01,,-0.9481182761669402
FP,3.6404389,2.5339234,476.3077321,476.3077321,3.7025342,9810.0,1.60776,4.43,-1.0699781396892705
PC,6.0744477,2.4954821,5982.5212406,5982.5212406,30.9493217,5964.0,2.4303801,3.7,-0.8891182517466258
PC,3.7795212,2.952,2761.0,2761.0,5.98375,5771.0,1.18,4.31,-0.7831877821487832
FP,1.2025238,1.991,390.0,390.0,6.31106,9158.0,1.74,4.32,-1.5578464620765573
FP,3.2235985,2.159,680.0,680.0,5.51341,8904.0,2.17,4.09,-1.7449555737895774
APC,4.420125,3.956,2466.0,2466.0,,,,,-1.847516363903394
KP,4.0872956,5.586113,3572.1712499,3572.1712499,13.6237732,6036.0,2.2186699,3.93359,-1.041550298224031
FP,2.55555,1.566,340.0,340.0,11.5901,10037.0,6.04,,-1.9473201435302792
FP,8.30792,3.228,8350.0,8350.0,43.1068,9081.0,3.05,3.83,-2.123339946395867
PC,0.758082,1.8184632,583.93181,583.93181,10.1273702,9917.0,3.5086601,3.75,-1.1308774380005804
FP,1.4415577,2.349,507.0,507.0,3.61078,6902.0,1.52,4.25,-1.220388378476259
PC,1.0085089,1.642,3051.0,3051.0,,5215.2,,,-0.9562055069286028
